date,date_viz
1/2/19,01/01
1/3/19,01/02
1/4/19,01/03
1/5/19,01/04
1/6/19,01/05
1/7/19,01/06
1/8/19,01/07
1/9/19,01/08
1/10/19,01/09
1/11/19,01/10
1/12/19,01/11
1/13/19,01/12
1/14/19,01/13
1/15/19,01/14
1/16/19,01/15
1/17/19,01/16
1/18/19,01/17
1/19/19,01/18
1/20/19,01/19
1/21/19,01/20
1/22/19,01/21
1/23/19,01/22
1/24/19,01/23
1/25/19,01/24
1/26/19,01/25
1/27/19,01/26
1/28/19,01/27
1/29/19,01/28
1/30/19,01/29
1/31/19,01/30
2/1/19,01/31
2/2/19,02/01
2/3/19,02/02
2/4/19,02/03
2/5/19,02/04
2/6/19,02/05
2/7/19,02/06
2/8/19,02/07
2/9/19,02/08
2/10/19,02/09
2/11/19,02/10
2/12/19,02/11
2/13/19,02/12
2/14/19,02/13
2/15/19,02/14
2/16/19,02/15
2/17/19,02/16
2/18/19,02/17
2/19/19,02/18
2/20/19,02/19
2/21/19,02/20
2/22/19,02/21
2/23/19,02/22
2/24/19,02/23
2/25/19,02/24
2/26/19,02/25
2/27/19,02/26
2/28/19,02/27
3/1/19,02/28
3/2/19,02/29
3/3/19,03/01
3/4/19,03/02
3/5/19,03/03
3/6/19,03/04
3/7/19,03/05
3/8/19,03/06
3/9/19,03/07
3/10/19,03/08
3/11/19,03/09
3/12/19,03/10
3/13/19,03/11
3/14/19,03/12
3/15/19,03/13
3/16/19,03/14
3/17/19,03/15
3/18/19,03/16
3/19/19,03/17
3/20/19,03/18
3/21/19,03/19
3/22/19,03/20
3/23/19,03/21
3/24/19,03/22
3/25/19,03/23
3/26/19,03/24
3/27/19,03/25
3/28/19,03/26
3/29/19,03/27
3/30/19,03/28
3/31/19,03/29
4/1/19,03/30
4/2/19,03/31
4/3/19,04/01
4/4/19,04/02
4/5/19,04/03
4/6/19,04/04
4/7/19,04/05
4/8/19,04/06
4/9/19,04/07
4/10/19,04/08
4/11/19,04/09
4/12/19,04/10
4/13/19,04/11
4/14/19,04/12
4/15/19,04/13
4/16/19,04/14
4/17/19,04/15
4/18/19,04/16
4/19/19,04/17
4/20/19,04/18
4/21/19,04/19
4/22/19,04/20
4/23/19,04/21
4/24/19,04/22
4/25/19,04/23
4/26/19,04/24
4/27/19,04/25
4/28/19,04/26
4/29/19,04/27
4/30/19,04/28
5/1/19,04/29
5/2/19,04/30
5/3/19,05/01
5/4/19,05/02
5/5/19,05/03
5/6/19,05/04
5/7/19,05/05
5/8/19,05/06
5/9/19,05/07
5/10/19,05/08
5/11/19,05/09
5/12/19,05/10
5/13/19,05/11
5/14/19,05/12
5/15/19,05/13
5/16/19,05/14
5/17/19,05/15
5/18/19,05/16
5/19/19,05/17
5/20/19,05/18
5/21/19,05/19
5/22/19,05/20
5/23/19,05/21
5/24/19,05/22
5/25/19,05/23
5/26/19,05/24
5/27/19,05/25
5/28/19,05/26
5/29/19,05/27
5/30/19,05/28
5/31/19,05/29
6/1/19,05/30
6/2/19,05/31
6/3/19,06/01
6/4/19,06/02
6/5/19,06/03
6/6/19,06/04
6/7/19,06/05
6/8/19,06/06
6/9/19,06/07
6/10/19,06/08
6/11/19,06/09
6/12/19,06/10
6/13/19,06/11
6/14/19,06/12
6/15/19,06/13
6/16/19,06/14
6/17/19,06/15
6/18/19,06/16
6/19/19,06/17
6/20/19,06/18
6/21/19,06/19
6/22/19,06/20
6/23/19,06/21
6/24/19,06/22
6/25/19,06/23
6/26/19,06/24
6/27/19,06/25
6/28/19,06/26
6/29/19,06/27
6/30/19,06/28
7/1/19,06/29
7/2/19,06/30
7/3/19,07/01
7/4/19,07/02
7/5/19,07/03
7/6/19,07/04
7/7/19,07/05
7/8/19,07/06
7/9/19,07/07
7/10/19,07/08
7/11/19,07/09
7/12/19,07/10
7/13/19,07/11
7/14/19,07/12
7/15/19,07/13
7/16/19,07/14
7/17/19,07/15
7/18/19,07/16
7/19/19,07/17
7/20/19,07/18
7/21/19,07/19
7/22/19,07/20
7/23/19,07/21
7/24/19,07/22
7/25/19,07/23
7/26/19,07/24
7/27/19,07/25
7/28/19,07/26
7/29/19,07/27
7/30/19,07/28
7/31/19,07/29
8/1/19,07/30
8/2/19,07/31
8/3/19,08/01
8/4/19,08/02
8/5/19,08/03
8/6/19,08/04
8/7/19,08/05
8/8/19,08/06
8/9/19,08/07
8/10/19,08/08
8/11/19,08/09
8/12/19,08/10
8/13/19,08/11
8/14/19,08/12
8/15/19,08/13
8/16/19,08/14
8/17/19,08/15
8/18/19,08/16
8/19/19,08/17
8/20/19,08/18
8/21/19,08/19
8/22/19,08/20
8/23/19,08/21
8/24/19,08/22
8/25/19,08/23
8/26/19,08/24
8/27/19,08/25
8/28/19,08/26
8/29/19,08/27
8/30/19,08/28
8/31/19,08/29
9/1/19,08/30
9/2/19,08/31
9/3/19,09/01
9/4/19,09/02
9/5/19,09/03
9/6/19,09/04
9/7/19,09/05
9/8/19,09/06
9/9/19,09/07
9/10/19,09/08
9/11/19,09/09
9/12/19,09/10
9/13/19,09/11
9/14/19,09/12
9/15/19,09/13
9/16/19,09/14
9/17/19,09/15
9/18/19,09/16
9/19/19,09/17
9/20/19,09/18
9/21/19,09/19
9/22/19,09/20
9/23/19,09/21
9/24/19,09/22
9/25/19,09/23
9/26/19,09/24
9/27/19,09/25
9/28/19,09/26
9/29/19,09/27
9/30/19,09/28
1/1/20,01/01
1/2/20,01/02
1/3/20,01/03
1/4/20,01/04
1/5/20,01/05
1/6/20,01/06
1/7/20,01/07
1/8/20,01/08
1/9/20,01/09
1/10/20,01/10
1/11/20,01/11
1/12/20,01/12
1/13/20,01/13
1/14/20,01/14
1/15/20,01/15
1/16/20,01/16
1/17/20,01/17
1/18/20,01/18
1/19/20,01/19
1/20/20,01/20
1/21/20,01/21
1/22/20,01/22
1/23/20,01/23
1/24/20,01/24
1/25/20,01/25
1/26/20,01/26
1/27/20,01/27
1/28/20,01/28
1/29/20,01/29
1/30/20,01/30
1/31/20,01/31
2/1/20,02/01
2/2/20,02/02
2/3/20,02/03
2/4/20,02/04
2/5/20,02/05
2/6/20,02/06
2/7/20,02/07
2/8/20,02/08
2/9/20,02/09
2/10/20,02/10
2/11/20,02/11
2/12/20,02/12
2/13/20,02/13
2/14/20,02/14
2/15/20,02/15
2/16/20,02/16
2/17/20,02/17
2/18/20,02/18
2/19/20,02/19
2/20/20,02/20
2/21/20,02/21
2/22/20,02/22
2/23/20,02/23
2/24/20,02/24
2/25/20,02/25
2/26/20,02/26
2/27/20,02/27
2/28/20,02/28
2/29/20,02/29
3/1/20,03/01
3/2/20,03/02
3/3/20,03/03
3/4/20,03/04
3/5/20,03/05
3/6/20,03/06
3/7/20,03/07
3/8/20,03/08
3/9/20,03/09
3/10/20,03/10
3/11/20,03/11
3/12/20,03/12
3/13/20,03/13
3/14/20,03/14
3/15/20,03/15
3/16/20,03/16
3/17/20,03/17
3/18/20,03/18
3/19/20,03/19
3/20/20,03/20
3/21/20,03/21
3/22/20,03/22
3/23/20,03/23
3/24/20,03/24
3/25/20,03/25
3/26/20,03/26
3/27/20,03/27
3/28/20,03/28
3/29/20,03/29
3/30/20,03/30
3/31/20,03/31
4/1/20,04/01
4/2/20,04/02
4/3/20,04/03
4/4/20,04/04
4/5/20,04/05
4/6/20,04/06
4/7/20,04/07
4/8/20,04/08
4/9/20,04/09
4/10/20,04/10
4/11/20,04/11
4/12/20,04/12
4/13/20,04/13
4/14/20,04/14
4/15/20,04/15
4/16/20,04/16
4/17/20,04/17
4/18/20,04/18
4/19/20,04/19
4/20/20,04/20
4/21/20,04/21
4/22/20,04/22
4/23/20,04/23
4/24/20,04/24
4/25/20,04/25
4/26/20,04/26
4/27/20,04/27
4/28/20,04/28
4/29/20,04/29
4/30/20,04/30
5/1/20,05/01
5/2/20,05/02
5/3/20,05/03
5/4/20,05/04
5/5/20,05/05
5/6/20,05/06
5/7/20,05/07
5/8/20,05/08
5/9/20,05/09
5/10/20,05/10
5/11/20,05/11
5/12/20,05/12
5/13/20,05/13
5/14/20,05/14
5/15/20,05/15
5/16/20,05/16
5/17/20,05/17
5/18/20,05/18
5/19/20,05/19
5/20/20,05/20
5/21/20,05/21
5/22/20,05/22
5/23/20,05/23
5/24/20,05/24
5/25/20,05/25
5/26/20,05/26
5/27/20,05/27
5/28/20,05/28
5/29/20,05/29
5/30/20,05/30
5/31/20,05/31
6/1/20,06/01
6/2/20,06/02
6/3/20,06/03
6/4/20,06/04
6/5/20,06/05
6/6/20,06/06
6/7/20,06/07
6/8/20,06/08
6/9/20,06/09
6/10/20,06/10
6/11/20,06/11
6/12/20,06/12
6/13/20,06/13
6/14/20,06/14
6/15/20,06/15
6/16/20,06/16
6/17/20,06/17
6/18/20,06/18
6/19/20,06/19
6/20/20,06/20
6/21/20,06/21
6/22/20,06/22
6/23/20,06/23
6/24/20,06/24
6/25/20,06/25
6/26/20,06/26
6/27/20,06/27
6/28/20,06/28
6/29/20,06/29
6/30/20,06/30
7/1/20,07/01
7/2/20,07/02
7/3/20,07/03
7/4/20,07/04
7/5/20,07/05
7/6/20,07/06
7/7/20,07/07
7/8/20,07/08
7/9/20,07/09
7/10/20,07/10
7/11/20,07/11
7/12/20,07/12
7/13/20,07/13
7/14/20,07/14
7/15/20,07/15
7/16/20,07/16
7/17/20,07/17
7/18/20,07/18
7/19/20,07/19
7/20/20,07/20
7/21/20,07/21
7/22/20,07/22
7/23/20,07/23
7/24/20,07/24
7/25/20,07/25
7/26/20,07/26
7/27/20,07/27
7/28/20,07/28
7/29/20,07/29
7/30/20,07/30
7/31/20,07/31
8/1/20,08/01
8/2/20,08/02
8/3/20,08/03
8/4/20,08/04
8/5/20,08/05
8/6/20,08/06
8/7/20,08/07
8/8/20,08/08
8/9/20,08/09
8/10/20,08/10
8/11/20,08/11
8/12/20,08/12
8/13/20,08/13
8/14/20,08/14
8/15/20,08/15
8/16/20,08/16
8/17/20,08/17
8/18/20,08/18
8/19/20,08/19
8/20/20,08/20
8/21/20,08/21
8/22/20,08/22
8/23/20,08/23
8/24/20,08/24
8/25/20,08/25
8/26/20,08/26
8/27/20,08/27
8/28/20,08/28
8/29/20,08/29
8/30/20,08/30
8/31/20,08/31
9/1/20,09/01
9/2/20,09/02
9/3/20,09/03
9/4/20,09/04
9/5/20,09/05
9/6/20,09/06
9/7/20,09/07
9/8/20,09/08
9/9/20,09/09
9/10/20,09/10
9/11/20,09/11
9/12/20,09/12
9/13/20,09/13
9/14/20,09/14
9/15/20,09/15
9/16/20,09/16
9/17/20,09/17
9/18/20,09/18
9/19/20,09/19
9/20/20,09/20
9/21/20,09/21
9/22/20,09/22
9/23/20,09/23
9/24/20,09/24
9/25/20,09/25
9/26/20,09/26
9/27/20,09/27
9/28/20,09/28